id,name
207,West Farms Rd & Boone Ave
208,E 128 St & 3 Ave
209,Willis Ave & Bruckner Blvd
210,E Burnside Ave & Ryer Ave
211,Pioneer St & Richards St
212,Spruce St & Nassau St
213,1 Pl & Clinton St
214,W Broadway & Spring St
215,North Moore St & Greenwich St
216,E 115 St & Madison Ave
217,53 St & Roosevelt Ave
218,Ave A & E 11 St
219,Underhill Ave & Lincoln Pl
220,Watts St & Greenwich St
221,55 Ave & Center Blvd
222,St James Ave & 51 Ave
223,E 161 St & River Ave
224,Clermont Ave & Park Ave
225,Ave C & E 16 St
226,Prospect Ave & E 151 St
227,E 14 St & 1 Ave
228,Coffey St & Ferris St
229,Jefferson Ave & Evergreen Ave
230,34 Ave & 89 St
231,W Tremont Ave & Grand Ave
232,Carlton Ave & Park Ave
233,W 30 St & 8 Ave
234,30 Ave & 21 St
235,E 9 St & 5 Ave
236,E 3 St & 1 Ave
237,E 25 St & 2 Ave
238,New York Ave & St Marks Ave
239,Queens Blvd & Broadway
240,Clinton St & Tillary St
241,E 149 St & Jackson Ave
242,Mt Morris Park W & W 120 St
243,Brook Ave & E 148 St
244,E 116 St & 2 Ave
245,Macombs Rd & Featherbed Ln
246,Broadway & Hancock St
247,W 100 St & Manhattan Ave
248,Mount Eden Pkwy & Eastburn Ave
249,Fulton St & William St
250,E 10 St & 2 Ave
251,Franklin St & Dupont St
252,Allen St & Rivington St
253,Eastern Pkwy & Franklin Ave (SW Corner)
254,Mott St & Prince St
255,E 25 St & 1 Ave
256,Broadway & W 133 St
257,W 170 St & University Ave
258,W 48 St &  Rockefeller Plaza
259,E 12 St & 3 Ave
260,E 20 St & 2 Ave
261,W 27 St & 6 Ave
262,Flatbush Ave & Ocean Ave
263,Allen St & Hester St
264,Franklin Ave & Quincy St
265,Forsyth St & Grand St
266,W 27 St & 7 Ave
267,E 40 St & 5 Ave
268,Perry St & Bleecker St
269,Plaza St West & Flatbush Ave
270,53 Ave & 94 St
271,Duffield St & Willoughby St
272,W 15 St & 10 Ave
273,W 31 St & 7 Ave
274,Knickerbocker Ave & Moffat St
275,Broadway & W 29 St
276,12 St & 4 Ave
277,Davidson Ave & W Burnside Ave
278,Cumberland St & Lafayette Ave
279,E 47 St & 1 Ave
280,Berkeley Pl & 7 Ave
281,E 9 St & Ave C
282,Brook Ave & E 138 St
283,W 44 St & 5 Ave
284,E 123 St & Lexington Ave
285,Pier 40 - Hudson River Park
286,W Fordham Rd & Loring Pl N
287,55 Ave & 97 Pl
288,Park Ave & E Tremont Ave
289,W 113 St & Broadway
290,E 78 St & 2 Ave
291,E 163 St & Union Ave
292,Windsor Pl & 8 Ave
293,Bushwick Ave & Furman Ave
294,Suydam St & Knickerbocker Ave
295,48 St & 5 Ave
296,Graham Ave & Herbert St
297,2 Ave & E 96 St
298,Decatur St & Saratoga Ave
299,31 St & Hoyt Ave N
300,E 138 St & Park Ave
301,Washington Pl & 6 Ave
302,Kane St & Clinton St
303,Evergreen Ave & Noll St
304,Greene Ave & Nostrand Ave
305,92 St & Astoria Blvd
306,Bedford Park Blvd & Paul Ave
307,99 St & 35 Ave
308,Butler St & 27 Ave
309,5 St & Market St
310,Valentine Ave & E 183 St
311,Frederick Douglass Blvd & Harlem River Dr
312,FDR Drive & E 35 St
313,Hope St & Union Ave
314,Columbia Heights & Cranberry St
315,55 St & 5 Ave
316,President St & Hoyt St
317,31 Ave & 14 St
318,Troy Ave & Park Pl
319,E 89 St & 3 Ave
320,74 St & 37 Ave
321,Van Sinderen Ave & Truxton St
322,W 218 St & Indian Rd
323,Riverside Dr & W 153 St
324,21 St & Hoyt Ave S
325,Henry St & Remsen St
326,34 St & 35 Ave
327,E 149 St & Park Ave
328,3 Ave & E 100 St
329,W 87 St & Amsterdam Ave
330,E 23 St & 1 Ave
331,E 118 St & Madison Ave
332,11 Ave & W 41 St
333,31 St & Northern Blvd
334,W 54 St & 9 Ave
335,Melrose Ave & E 150 St
336,Lexington Ave & E 24 St
337,Bond St & Fulton St
338,Fulton Ave & E 172 St
339,Waterbury St & Stagg St
340,E 13 St & 2 Ave
341,E 15 St & 5 Ave
342,31 St & Ditmars Blvd
343,31 St & Broadway
344,Vernon Blvd & 31 Ave
345,Grove St & Fresh Pond Rd
346,Gillmore St & 27 Ave
347,Sedgwick Ave & W 195 St
348,McKeever Pl & Sullivan Pl
